ranking ,change in position from 2020,country,total score,quantity score,quality score,business score,change in position sign 
1,0,United States,124.42,19.45,101.17,3.8,
2,0,United Kingdom,28.719,8.16,16.86,3.7,
3,0,Israel,27.741,5.48,19.14,3.13,
4,0,Canada,19.876,6.58,9.75,3.55,
5,0,Germany,17.053,3.64,9.93,3.49,
6,4,Sweden,15.423,2.4,9.24,3.78,+
7,7,China,15.128,1.33,11.46,2.34,+
8,0,Switzerland,14.943,3.82,7.58,3.54,
9,2,Australia,13.835,4.46,5.88,3.5,-
10,6,Singapore,13.745,3.21,7.69,2.84,+
11,5,The Netherlands,13.7,3.44,6.96,3.3,-
12,0,France,13.286,3.03,6.85,3.41,
13,2,Estonia,12.428,3.19,5.77,3.47,-
14,1,Finland,11.582,2.68,5.26,3.64,-
15,6,Spain,11.146,3.48,4.35,3.31,-
16,1,Lithuania,9.992,3.77,2.98,3.25,-
17,0,Russia,9.813,2.17,5.14,2.51,
18,0,Ireland,9.633,2.51,3.68,3.44,
19,0,South Korea,8.888,0.68,4.96,3.24,
20,3,India,8.833,1.83,4.4,2.61,+
21,0,Japan,8.709,0.99,4.42,3.3,
22,0,Denmark,8.368,2.04,2.68,3.65,
23,1,Belgium,7.359,2.07,1.98,3.31,+
24,4,Brazil,7.326,1.05,3.99,2.29,-
25,18,United Arab Emirates,6.951,1.73,2.42,2.8,+
26,4,Taiwan,6.946,1.5,2.09,3.36,+
27,4,Portugal,6.939,1.6,2.53,2.81,+
28,0,Austria,6.936,1.75,1.67,3.52,
29,4,Italy,6.602,1.68,1.87,3.06,-
30,3,Poland,6.515,1.4,1.95,3.17,-
31,2,Norway,6.386,1.15,1.57,3.66,+
32,6,Czechia,6.226,1.24,1.72,3.26,-
33,14,New Zealand,5.865,1.05,1.12,3.69,+
34,5,Ukraine,5.705,1.01,2.09,2.6,-
35,3,Bulgaria,5.209,1.88,0.58,2.75,-
36,2,Chile,4.976,1.11,1.24,2.63,-
37,2,Croatia,4.907,0.97,1.06,2.88,+
38,3,Mexico,4.8,0.63,1.63,2.54,+
39,1,Argentina,4.613,1.11,1.52,1.98,-
40,8,Malaysia,4.411,0.55,1.18,2.68,+
41,4,Romania,4.26,0.81,0.93,2.52,+
42,6,Latvia,4.175,1.3,0.33,2.55,-
43,3,Luxembourg,3.886,1.21,0.38,2.3,-
44,5,Turkey,3.723,0.87,0.72,2.14,+
45,9,Indonesia,3.657,0.32,1.82,1.52,+
46,11,Slovenia,3.604,1.14,0.29,2.18,-
47,1,Colombia,3.547,0.63,1.03,1.89,-
48,4,South Africa,3.518,0.49,1.15,1.89,+
49,12,Hungary,3.445,1.06,0.34,2.04,-
50,0,Thailand,3.081,0.41,1.01,1.67,
51,15,Uruguay,3,0.29,1.13,1.58,+
52,1,Philippines,2.852,0.53,0.81,1.52,+
53,11,Serbia,2.68,0.85,0.29,1.53,-
54,10,Greece,2.538,0.74,0.33,1.47,-
55,3,Iceland,2.177,0.54,0.36,1.27,+
56,5,Slovakia,2.069,0.6,0.21,1.26,-
57,2,Cyprus,1.854,0.55,0.23,1.08,-
58,2,North Macedonia,1.849,0.2,0.58,1.07,+
59,0,Vietnam,1.83,0.21,0.73,0.89,
60,1,Malta,1.594,0.56,0.16,0.88,+
61,1,Kenya,1.565,0.26,0.43,0.88,+
62,6,Peru,1.54,0.21,0.5,0.82,-
63,5,Nigeria,1.517,0.3,0.59,0.63,+
64,3,Jordan,1.108,0.24,0.26,0.6,+
65,8,Armenia,1.078,0.35,0.13,0.59,-
66,9,Bahrain,0.946,0.27,0.15,0.52,+
67,4,Belarus,0.936,0.32,0.12,0.5,-
68,1,Liechtenstein,0.923,0.23,0.12,0.57,+
69,4,Rwanda,0.918,0.1,0.34,0.47,-
70,11,Egypt,0.893,0.27,0.26,0.36,+
71,17,Saudi Arabia,0.864,0.23,0.18,0.46,+
72,new entry,Costa Rica,0.586,0.09,0.18,0.32,
73,new entry,Mauritius,0.517,0.07,0.15,0.3,
74,0,Lebanon,0.499,0.24,0.06,0.2,
75,7,Pakistan,0.489,0.17,0.14,0.18,+
76,10,Kazakhstan,0.468,0.14,0.08,0.26,+
77,13,Moldova,0.462,0.12,0.09,0.25,-
78,6,Albania,0.451,0.12,0.1,0.23,-
79,3,Jamaica,0.419,0.11,0.09,0.22,-
80,1,Georgia,0.409,0.09,0.08,0.23,-
81,4,Ghana,0.399,0.1,0.11,0.18,+
82,5,Tunisia,0.395,0.14,0.07,0.19,-
83,4,Panama,0.355,0.09,0.08,0.19,+
84,0,Qatar,0.352,0.1,0.09,0.17,
85,12,Bosnia and Herzegovina,0.351,0.1,0.08,0.17,-
86,15,Ecuador,0.33,0.12,0.06,0.15,-
87,4,Cape Verde,0.319,0.15,0.05,0.11,+
88,5,Mongolia,0.314,0.1,0.05,0.16,+
89,19,Azerbaijan,0.309,0.09,0.05,0.17,-
90,2,Kuwait,0.259,0.04,0.09,0.12,+
91,11,Paraguay,0.253,0.07,0.06,0.12,-
92,7,Sri Lanka,0.245,0.09,0.04,0.12,+
93,5,Bangladesh,0.241,0.08,0.08,0.09,+
94,1,Somalia,0.224,0.14,0.05,0.04,+
95,12,Morocco,0.22,0.06,0.05,0.12,-
96,18,Dominican Republic,0.197,0.06,0.04,0.09,-
97,8,Uganda,0.18,0.07,0.04,0.07,-
98,2,Nepal,0.172,0.06,0.04,0.08,+
99,new  entry,Namibia,0.165,0.04,0.05,0.07,
100,new  entry,Ethiopia,0.162,0.07,0.06,0.03,
,,,,,,,
